CBSA,CITY,STATE,CITYSTATE,NETMIG2020,NETMIG2021,TOTALNETMIG,2020rank,2020census,2010census,Change,2020 land area,2020 population density,Location,Unemployment Rate (August 2021),Change in Unemployment (August 2021 vs August 2019),Change in Unemployment (August 2021 vs January 2020),Change in Unemployment (August 2021 vs August 2020),Adjusted Unemployment Rate* (August 2021),Effective Real-Estate Tax Rate,Annual Taxes on $217.5K Home*,State Median Home Value,Annual Taxes on Home Priced at State Median Value,ZHVI,ZORI,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
48300,Wenatchee,WA,"Wenatchee, WA",132,1085,1217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98%,"$2,134","$339,000","$3,326",514759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27900,Joplin,MO,"Joplin, MO",24,1189,1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97%,"$2,111","$157,200","$1,526",167146,NA,241,93,33,144,63.043478,74.91638795986621,51.17056856187291,35,-0.38596491228070173,-22,-0.49275362318840576,-34,-12,0.04777307475038772,0.30633696160095747,1.0143,227450,0.04574712643678169,0.18834900731452464,0.5796,0
24420,Grants Pass,OR,"Grants Pass, OR",220,940,1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97%,"$2,116","$312,200","$3,037",415981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16820,Charlottesville,VA,"Charlottesville, VA",-4,1126,1122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82%,"$1,779","$273,100","$2,234",385003,NA,197,219,20,35,34.615385,13.712374581939798,55.51839464882943,70,-0.16666666666666663,-14,-0.17159763313609466,-14.5,23,0.13829538932437546,0.3001313214530563,1.0427,540323,0.05966464012551475,0.03411100478468909,1.3768,0
21060,Elizabethtown,KY,"Elizabethtown, KY",11,1100,1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86%,"$1,866","$141,000","$1,210",203178,NA,283,66,-19,34,69.397993,89.63210702341136,49.163879598662206,27.5,-0.11290322580645162,-3.5,-0.47115384615384615,-24.5,-19.5,0.10896408851474092,-0.12582665713838936,0.9924,269900,0.079599999999999893,0.15886646629454693,0.6877,0
42020,San Luis Obispo,CA,"San Luis Obispo, CA",-110,1209,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76%,"$1,644","$505,000","$3,818",835960,NA,173,68,-8,-11,69.230769,46.15384615384615,92.3076923076923,46.5,-0.1842105263157895,-10.5,-0.04123711340206182,-2,-0.5,0.11112362230144136,0.2579087827055828,1.6825,990000,-0.07906976744186045,0.12884834663626,2.5226,0
48660,Wichita Falls,TX,"Wichita Falls, TX",202,882,1084,315,"102,316","104,553",−2.14%,72.0 sq mi,"1,421/sq mi",33°54′N 98°31′W﻿ / ﻿33.90°N 98.52°W﻿ / 33.90; -98.52﻿ (Wichita Falls),NA,NA,NA,NA,NA,1.80%,"$3,907","$172,500","$3,099",144335,NA,286,175,-67,-98,44.983278,54.515050167224075,35.45150501672241,43.5,-0.05434782608695654,-2.5,0.0116279069767442,0.5,-3.5,0.08204895320423122,-0.20392384086203597,0.8457,180280,0.02688539530644784,0.4279603960396039,0.4594,1
20020,Dothan,AL,"Dothan, AL",148,912,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41%,$895,"$142,700",$587,150630,NA,269,147,52,93,50,65.55183946488295,34.448160535117054,39,-0.3389830508474576,-20,-0.40909090909090906,-27,-8,0.12428402946126348,0.1812251526958102,0.8341,217000,-0.04151520103887385,0.14270668773038442,0.5529,0
15540,Burlington,VT,"Burlington, VT",10,1048,1058,NA,NA,NA,NA,NA,NA,NA,2.90%,20.84%,38.57%,-50.86%,3.07%,1.90%,"$4,135","$227,700","$4,329",403823,NA,201,55,69,134,71.571906,46.15384615384615,96.98996655518395,46.5,-0.40384615384615385,-31.5,-0.5528846153846154,-57.5,-0.5,0.03258645041509411,0.39032435446611013,2.0083,447500,0.040697674418604723,0.12015018773466823,1.1403,0
38540,Pocatello,ID,"Pocatello, ID",128,927,1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69%,"$1,492","$212,300","$1,456",307211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
